hi	model
16.4049	BayesianGaussianMixture
16.4814	BayesianGaussianMixture
16.5025	BayesianGaussianMixture
16.5068	BayesianGaussianMixture
16.5068	BayesianGaussianMixture
16.6252	BayesianGaussianMixture
16.6887	BayesianGaussianMixture
16.7182	BayesianGaussianMixture
16.7731	BayesianGaussianMixture
16.7731	BayesianGaussianMixture
16.7903	BayesianGaussianMixture
16.8069	BayesianGaussianMixture
16.808	BayesianGaussianMixture
16.8222	BayesianGaussianMixture
16.8852	BayesianGaussianMixture
16.9001	BayesianGaussianMixture
16.9187	BayesianGaussianMixture
16.9497	BayesianGaussianMixture
17.0292	BayesianGaussianMixture
17.0332	BayesianGaussianMixture
17.2098	BayesianGaussianMixture
17.2098	BayesianGaussianMixture
17.2182	BayesianGaussianMixture
17.2182	BayesianGaussianMixture
17.2182	BayesianGaussianMixture
17.324	BayesianGaussianMixture
17.3717	BayesianGaussianMixture
17.3884	BayesianGaussianMixture
17.411	BayesianGaussianMixture
17.5033	BayesianGaussianMixture
17.5251	BayesianGaussianMixture
17.577	BayesianGaussianMixture
17.5892	BayesianGaussianMixture
17.5905	BayesianGaussianMixture
17.5909	BayesianGaussianMixture
17.6053	BayesianGaussianMixture
17.6089	BayesianGaussianMixture
17.6336	BayesianGaussianMixture
17.774	BayesianGaussianMixture
17.7847	BayesianGaussianMixture
17.7847	BayesianGaussianMixture
17.8838	BayesianGaussianMixture
17.9389	BayesianGaussianMixture
17.9727	BayesianGaussianMixture
18.0819	BayesianGaussianMixture
18.1182	BayesianGaussianMixture
18.1264	BayesianGaussianMixture
18.3513	BayesianGaussianMixture
18.4242	BayesianGaussianMixture
18.4451	BayesianGaussianMixture
18.4739	BayesianGaussianMixture
18.5249	BayesianGaussianMixture
18.5436	BayesianGaussianMixture
18.6337	BayesianGaussianMixture
18.6696	BayesianGaussianMixture
18.7931	BayesianGaussianMixture
18.8085	BayesianGaussianMixture
18.8966	BayesianGaussianMixture
18.924	BayesianGaussianMixture
19.1122	BayesianGaussianMixture
19.1286	BayesianGaussianMixture
19.1614	BayesianGaussianMixture
19.1614	BayesianGaussianMixture
19.2466	BayesianGaussianMixture
19.3933	BayesianGaussianMixture
19.4985	BayesianGaussianMixture
19.4985	BayesianGaussianMixture
19.5513	BayesianGaussianMixture
19.5513	BayesianGaussianMixture
19.5927	BayesianGaussianMixture
19.5927	BayesianGaussianMixture
19.5974	BayesianGaussianMixture
19.6136	BayesianGaussianMixture
19.6136	BayesianGaussianMixture
19.6335	BayesianGaussianMixture
19.6336	BayesianGaussianMixture
19.6908	BayesianGaussianMixture
19.7372	BayesianGaussianMixture
19.7437	BayesianGaussianMixture
19.8351	BayesianGaussianMixture
19.8351	BayesianGaussianMixture
19.9268	BayesianGaussianMixture
19.9414	BayesianGaussianMixture
19.9566	BayesianGaussianMixture
20.0055	BayesianGaussianMixture
20.0055	BayesianGaussianMixture
20.0805	BayesianGaussianMixture
20.0837	BayesianGaussianMixture
20.1088	BayesianGaussianMixture
20.1205	BayesianGaussianMixture
20.1205	BayesianGaussianMixture
20.1525	BayesianGaussianMixture
20.1611	BayesianGaussianMixture
20.1831	BayesianGaussianMixture
20.286	BayesianGaussianMixture
20.3613	BayesianGaussianMixture
20.403	BayesianGaussianMixture
20.4458	BayesianGaussianMixture
20.4458	BayesianGaussianMixture
20.4822	BayesianGaussianMixture
20.616	BayesianGaussianMixture
20.6475	BayesianGaussianMixture
20.7027	BayesianGaussianMixture
20.7239	BayesianGaussianMixture
20.8372	BayesianGaussianMixture
20.8372	BayesianGaussianMixture
20.8908	BayesianGaussianMixture
20.9957	BayesianGaussianMixture
21.1786	BayesianGaussianMixture
21.1786	BayesianGaussianMixture
21.25	BayesianGaussianMixture
21.3233	BayesianGaussianMixture
21.3479	BayesianGaussianMixture
21.3718	BayesianGaussianMixture
21.4838	BayesianGaussianMixture
21.5088	BayesianGaussianMixture
21.5307	BayesianGaussianMixture
21.5307	BayesianGaussianMixture
21.6253	BayesianGaussianMixture
21.644	BayesianGaussianMixture
21.6798	BayesianGaussianMixture
21.6869	BayesianGaussianMixture
21.7634	BayesianGaussianMixture
21.7644	BayesianGaussianMixture
21.7879	BayesianGaussianMixture
21.817	BayesianGaussianMixture
21.8897	BayesianGaussianMixture
21.9417	BayesianGaussianMixture
21.9516	BayesianGaussianMixture
21.9769	BayesianGaussianMixture
21.9845	BayesianGaussianMixture
21.9845	BayesianGaussianMixture
22.0147	BayesianGaussianMixture
22.0353	BayesianGaussianMixture
22.0365	BayesianGaussianMixture
22.0949	BayesianGaussianMixture
22.1113	BayesianGaussianMixture
22.1314	BayesianGaussianMixture
22.1453	BayesianGaussianMixture
22.1521	BayesianGaussianMixture
22.2866	BayesianGaussianMixture
22.2881	BayesianGaussianMixture
22.3087	BayesianGaussianMixture
22.3087	BayesianGaussianMixture
22.3117	BayesianGaussianMixture
22.3179	BayesianGaussianMixture
22.3447	BayesianGaussianMixture
22.345	BayesianGaussianMixture
22.3626	BayesianGaussianMixture
22.3651	BayesianGaussianMixture
22.4443	BayesianGaussianMixture
22.4711	BayesianGaussianMixture
22.4711	BayesianGaussianMixture
22.5313	BayesianGaussianMixture
22.5681	BayesianGaussianMixture
22.5705	BayesianGaussianMixture
22.5844	BayesianGaussianMixture
22.6428	BayesianGaussianMixture
22.6428	BayesianGaussianMixture
22.7566	BayesianGaussianMixture
22.8411	BayesianGaussianMixture
22.8742	BayesianGaussianMixture
22.8832	BayesianGaussianMixture
22.8832	BayesianGaussianMixture
22.9082	BayesianGaussianMixture
22.9153	BayesianGaussianMixture
22.9688	BayesianGaussianMixture
22.9769	BayesianGaussianMixture
23.0316	BayesianGaussianMixture
23.0316	BayesianGaussianMixture
23.0738	BayesianGaussianMixture
23.0738	BayesianGaussianMixture
23.0791	BayesianGaussianMixture
23.0854	BayesianGaussianMixture
23.0965	BayesianGaussianMixture
23.1299	BayesianGaussianMixture
23.1299	BayesianGaussianMixture
23.1342	BayesianGaussianMixture
23.1473	BayesianGaussianMixture
23.1944	BayesianGaussianMixture
23.3288	BayesianGaussianMixture
23.4741	BayesianGaussianMixture
23.4741	BayesianGaussianMixture
23.5814	BayesianGaussianMixture
23.5836	BayesianGaussianMixture
23.6514	BayesianGaussianMixture
23.6514	BayesianGaussianMixture
23.849	BayesianGaussianMixture
23.8774	BayesianGaussianMixture
23.8921	BayesianGaussianMixture
23.8921	BayesianGaussianMixture
23.8986	BayesianGaussianMixture
23.926	BayesianGaussianMixture
23.94	BayesianGaussianMixture
23.9405	BayesianGaussianMixture
23.9494	BayesianGaussianMixture
23.9944	BayesianGaussianMixture
24.0604	BayesianGaussianMixture
24.3019	BayesianGaussianMixture
24.4568	BayesianGaussianMixture
24.4687	BayesianGaussianMixture
24.5186	BayesianGaussianMixture
24.5522	BayesianGaussianMixture
24.6108	BayesianGaussianMixture
24.6722	BayesianGaussianMixture
24.6894	BayesianGaussianMixture
24.6894	BayesianGaussianMixture
24.7709	BayesianGaussianMixture
24.8385	BayesianGaussianMixture
24.8744	BayesianGaussianMixture
25.0772	BayesianGaussianMixture
25.1299	BayesianGaussianMixture
25.1299	BayesianGaussianMixture
25.1837	BayesianGaussianMixture
25.256	BayesianGaussianMixture
25.2696	BayesianGaussianMixture
25.2927	BayesianGaussianMixture
25.3008	BayesianGaussianMixture
25.3011	BayesianGaussianMixture
25.3311	BayesianGaussianMixture
25.4199	BayesianGaussianMixture
25.5652	BayesianGaussianMixture
25.5665	BayesianGaussianMixture
25.5789	BayesianGaussianMixture
25.5945	BayesianGaussianMixture
25.6272	BayesianGaussianMixture
25.6418	BayesianGaussianMixture
25.6477	BayesianGaussianMixture
25.6555	BayesianGaussianMixture
25.6574	BayesianGaussianMixture
25.7128	BayesianGaussianMixture
25.7485	BayesianGaussianMixture
25.869	BayesianGaussianMixture
25.8702	BayesianGaussianMixture
25.8745	BayesianGaussianMixture
25.9064	BayesianGaussianMixture
25.9445	BayesianGaussianMixture
26.0106	BayesianGaussianMixture
26.0493	BayesianGaussianMixture
26.0858	BayesianGaussianMixture
26.1109	BayesianGaussianMixture
26.1464	BayesianGaussianMixture
26.2629	BayesianGaussianMixture
26.4568	BayesianGaussianMixture
26.4949	BayesianGaussianMixture
26.5127	BayesianGaussianMixture
26.6089	BayesianGaussianMixture
26.6152	BayesianGaussianMixture
26.6394	BayesianGaussianMixture
26.6493	BayesianGaussianMixture
26.8331	BayesianGaussianMixture
26.8533	BayesianGaussianMixture
27.0027	BayesianGaussianMixture
27.0951	BayesianGaussianMixture
27.126	BayesianGaussianMixture
27.126	BayesianGaussianMixture
27.126	BayesianGaussianMixture
27.2591	BayesianGaussianMixture
27.31	BayesianGaussianMixture
27.3838	BayesianGaussianMixture
27.4793	BayesianGaussianMixture
27.5625	BayesianGaussianMixture
27.5935	BayesianGaussianMixture
27.8519	BayesianGaussianMixture
27.8519	BayesianGaussianMixture
27.8561	BayesianGaussianMixture
27.9407	BayesianGaussianMixture
27.9407	BayesianGaussianMixture
28.1851	BayesianGaussianMixture
28.5252	BayesianGaussianMixture
28.8898	BayesianGaussianMixture
29.1605	BayesianGaussianMixture
29.3633	BayesianGaussianMixture
29.444	BayesianGaussianMixture
29.7281	BayesianGaussianMixture
29.8006	BayesianGaussianMixture
29.8202	BayesianGaussianMixture
30.3606	BayesianGaussianMixture
30.3903	BayesianGaussianMixture
32.5136	BayesianGaussianMixture
33.5119	BayesianGaussianMixture
33.7784	BayesianGaussianMixture
2.3527	AgglomerativeClustering
2.7686	AgglomerativeClustering
2.7686	AgglomerativeClustering
3.3381	AgglomerativeClustering
4.3144	AgglomerativeClustering
4.6532	AgglomerativeClustering
4.6532	AgglomerativeClustering
5.1589	AgglomerativeClustering
6.1062	AgglomerativeClustering
6.2369	AgglomerativeClustering
6.2369	AgglomerativeClustering
6.3969	AgglomerativeClustering
6.7211	AgglomerativeClustering
6.7211	AgglomerativeClustering
6.9833	AgglomerativeClustering
6.9833	AgglomerativeClustering
7.0354	AgglomerativeClustering
7.0354	AgglomerativeClustering
7.0642	AgglomerativeClustering
7.0642	AgglomerativeClustering
8.3212	AgglomerativeClustering
8.6111	AgglomerativeClustering
8.8018	AgglomerativeClustering
9.0678	AgglomerativeClustering
9.1912	AgglomerativeClustering
9.1912	AgglomerativeClustering
9.2685	AgglomerativeClustering
9.381	AgglomerativeClustering
9.4004	AgglomerativeClustering
9.5379	AgglomerativeClustering
9.5959	AgglomerativeClustering
10.5647	AgglomerativeClustering
10.6822	AgglomerativeClustering
11.8257	AgglomerativeClustering
12.0879	AgglomerativeClustering
12.1642	AgglomerativeClustering
12.5928	AgglomerativeClustering
12.7969	AgglomerativeClustering
12.8241	AgglomerativeClustering
12.8386	AgglomerativeClustering
12.8477	AgglomerativeClustering
12.934	AgglomerativeClustering
12.934	AgglomerativeClustering
12.9949	AgglomerativeClustering
13.5496	AgglomerativeClustering
13.5496	AgglomerativeClustering
13.6036	AgglomerativeClustering
13.9467	AgglomerativeClustering
14.0719	AgglomerativeClustering
14.6271	AgglomerativeClustering
14.8228	AgglomerativeClustering
14.8864	AgglomerativeClustering
14.8947	AgglomerativeClustering
14.9842	AgglomerativeClustering
14.9842	AgglomerativeClustering
15.0662	AgglomerativeClustering
15.0691	AgglomerativeClustering
15.241	AgglomerativeClustering
15.2579	AgglomerativeClustering
15.2591	AgglomerativeClustering
15.2939	AgglomerativeClustering
15.2962	AgglomerativeClustering
15.3188	AgglomerativeClustering
15.3828	AgglomerativeClustering
15.4953	AgglomerativeClustering
