species	genus	type	hi
s__Escherichia coli	g__Escherichia	hic1	13.7485
s__Escherichia coli	g__Escherichia	hic2	15.3064
s__Escherichia coli	g__Escherichia	hic1	14.5035
s__Escherichia coli	g__Escherichia	hic2	16.0748
s__Escherichia coli	g__Escherichia	hic1	14.5097
s__Escherichia coli	g__Escherichia	hic2	16.2441
s__Escherichia coli	g__Escherichia	hic1	15.3863
s__Escherichia coli	g__Escherichia	hic2	16.9736
s__Escherichia coli	g__Escherichia	hic1	13.7497
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	14.2832
s__Escherichia coli	g__Escherichia	hic2	15.8545
s__Escherichia coli	g__Escherichia	hic1	15.5841
s__Escherichia coli	g__Escherichia	hic2	17.1345
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.1411
s__Escherichia coli	g__Escherichia	hic1	15.6497
s__Escherichia coli	g__Escherichia	hic2	17.2297
s__Escherichia coli	g__Escherichia	hic1	14.0018
s__Escherichia coli	g__Escherichia	hic2	15.5731
s__Escherichia coli	g__Escherichia	hic1	14.5035
s__Escherichia coli	g__Escherichia	hic2	16.0748
s__Escherichia coli	g__Escherichia	hic1	16.1446
s__Escherichia coli	g__Escherichia	hic2	17.7025
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.0212
s__Escherichia coli	g__Escherichia	hic1	15.0002
s__Escherichia coli	g__Escherichia	hic2	16.6331
s__Escherichia coli	g__Escherichia	hic1	15.2000
s__Escherichia coli	g__Escherichia	hic2	16.7713
s__Escherichia coli	g__Escherichia	hic1	15.1916
s__Escherichia coli	g__Escherichia	hic2	16.8332
s__Escherichia coli	g__Escherichia	hic1	14.2637
s__Escherichia coli	g__Escherichia	hic2	15.8349
s__Escherichia coli	g__Escherichia	hic1	14.7227
s__Escherichia coli	g__Escherichia	hic2	16.3149
s__Escherichia coli	g__Escherichia	hic1	14.6506
s__Escherichia coli	g__Escherichia	hic2	16.4732
s__Escherichia coli	g__Escherichia	hic1	16.0920
s__Escherichia coli	g__Escherichia	hic2	17.6499
s__Escherichia coli	g__Escherichia	hic1	14.2637
s__Escherichia coli	g__Escherichia	hic2	15.8349
s__Escherichia coli	g__Escherichia	hic1	13.7705
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	15.2029
s__Escherichia coli	g__Escherichia	hic2	16.7742
s__Escherichia coli	g__Escherichia	hic1	14.2334
s__Escherichia coli	g__Escherichia	hic2	15.8047
s__Escherichia coli	g__Escherichia	hic1	15.1574
s__Escherichia coli	g__Escherichia	hic2	16.7079
s__Escherichia coli	g__Escherichia	hic1	14.3101
s__Escherichia coli	g__Escherichia	hic2	15.8814
s__Escherichia coli	g__Escherichia	hic1	14.8350
s__Escherichia coli	g__Escherichia	hic2	16.4554
s__Escherichia coli	g__Escherichia	hic1	14.5361
s__Escherichia coli	g__Escherichia	hic2	16.0866
s__Escherichia coli	g__Escherichia	hic1	14.5361
s__Escherichia coli	g__Escherichia	hic2	16.0866
s__Escherichia coli	g__Escherichia	hic1	15.2029
s__Escherichia coli	g__Escherichia	hic2	16.7609
s__Escherichia coli	g__Escherichia	hic1	14.9818
s__Escherichia coli	g__Escherichia	hic2	16.5322
s__Escherichia coli	g__Escherichia	hic1	15.2029
s__Escherichia coli	g__Escherichia	hic2	16.7742
s__Escherichia coli	g__Escherichia	hic1	14.8368
s__Escherichia coli	g__Escherichia	hic2	16.4512
s__Escherichia coli	g__Escherichia	hic1	15.6799
s__Escherichia coli	g__Escherichia	hic2	17.2512
s__Escherichia coli	g__Escherichia	hic1	14.8755
s__Escherichia coli	g__Escherichia	hic2	16.4467
s__Escherichia coli	g__Escherichia	hic1	14.1290
s__Escherichia coli	g__Escherichia	hic2	15.8578
s__Escherichia coli	g__Escherichia	hic1	14.3707
s__Escherichia coli	g__Escherichia	hic2	15.9629
s__Escherichia coli	g__Escherichia	hic1	15.1574
s__Escherichia coli	g__Escherichia	hic2	16.7079
s__Escherichia coli	g__Escherichia	hic1	15.2037
s__Escherichia coli	g__Escherichia	hic2	16.7750
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	15.1433
s__Escherichia coli	g__Escherichia	hic2	16.7522
s__Escherichia coli	g__Escherichia	hic1	15.3469
s__Escherichia coli	g__Escherichia	hic2	16.9182
s__Escherichia coli	g__Escherichia	hic1	14.5361
s__Escherichia coli	g__Escherichia	hic2	16.2065
s__Escherichia coli	g__Escherichia	hic1	15.4684
s__Escherichia coli	g__Escherichia	hic2	17.0964
s__Escherichia coli	g__Escherichia	hic1	14.7060
s__Escherichia coli	g__Escherichia	hic2	16.3149
s__Escherichia coli	g__Escherichia	hic1	15.4028
s__Escherichia coli	g__Escherichia	hic2	16.9740
s__Escherichia coli	g__Escherichia	hic1	14.3101
s__Escherichia coli	g__Escherichia	hic2	15.8814
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.0212
s__Escherichia coli	g__Escherichia	hic1	15.1433
s__Escherichia coli	g__Escherichia	hic2	16.7522
s__Escherichia coli	g__Escherichia	hic1	14.1830
s__Escherichia coli	g__Escherichia	hic2	15.7410
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.1411
s__Escherichia coli	g__Escherichia	hic1	14.2637
s__Escherichia coli	g__Escherichia	hic2	15.8349
s__Escherichia coli	g__Escherichia	hic1	14.2295
s__Escherichia coli	g__Escherichia	hic2	15.8008
s__Escherichia coli	g__Escherichia	hic1	14.5361
s__Escherichia coli	g__Escherichia	hic2	16.2065
s__Escherichia coli	g__Escherichia	hic1	14.0889
s__Escherichia coli	g__Escherichia	hic2	15.6394
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.0212
s__Escherichia coli	g__Escherichia	hic1	13.6470
s__Escherichia coli	g__Escherichia	hic2	15.2218
s__Escherichia coli	g__Escherichia	hic1	14.7644
s__Escherichia coli	g__Escherichia	hic2	16.3149
s__Escherichia coli	g__Escherichia	hic1	13.7497
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	14.1830
s__Escherichia coli	g__Escherichia	hic2	15.7410
s__Escherichia coli	g__Escherichia	hic1	14.5035
s__Escherichia coli	g__Escherichia	hic2	16.0748
s__Escherichia coli	g__Escherichia	hic1	15.8377
s__Escherichia coli	g__Escherichia	hic2	17.4466
s__Escherichia coli	g__Escherichia	hic1	13.7497
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	14.4124
s__Escherichia coli	g__Escherichia	hic2	15.9629
s__Escherichia coli	g__Escherichia	hic1	14.3101
s__Escherichia coli	g__Escherichia	hic2	15.8814
s__Escherichia coli	g__Escherichia	hic1	14.5035
s__Escherichia coli	g__Escherichia	hic2	16.0748
s__Escherichia coli	g__Escherichia	hic1	14.5927
s__Escherichia coli	g__Escherichia	hic2	16.2016
s__Escherichia coli	g__Escherichia	hic1	14.2295
s__Escherichia coli	g__Escherichia	hic2	15.8008
s__Escherichia coli	g__Escherichia	hic1	14.8017
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	16.3511
s__Escherichia coli	g__Escherichia	hic2	17.9091
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.1411
s__Escherichia coli	g__Escherichia	hic1	15.6421
s__Escherichia coli	g__Escherichia	hic2	17.2510
s__Escherichia coli	g__Escherichia	hic1	15.2612
s__Escherichia coli	g__Escherichia	hic2	16.8324
s__Escherichia coli	g__Escherichia	hic1	15.0563
s__Escherichia coli	g__Escherichia	hic2	16.7267
s__Escherichia coli	g__Escherichia	hic1	14.2160
s__Escherichia coli	g__Escherichia	hic2	15.8063
s__Escherichia coli	g__Escherichia	hic1	14.3101
s__Escherichia coli	g__Escherichia	hic2	15.8814
s__Escherichia coli	g__Escherichia	hic1	13.7927
s__Escherichia coli	g__Escherichia	hic2	15.3758
s__Escherichia coli	g__Escherichia	hic1	14.1775
s__Escherichia coli	g__Escherichia	hic2	15.7280
s__Escherichia coli	g__Escherichia	hic1	14.2334
s__Escherichia coli	g__Escherichia	hic2	15.8047
s__Escherichia coli	g__Escherichia	hic1	15.0756
s__Escherichia coli	g__Escherichia	hic2	16.6678
s__Escherichia coli	g__Escherichia	hic1	15.8070
s__Escherichia coli	g__Escherichia	hic2	17.3783
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	15.1016
s__Escherichia coli	g__Escherichia	hic2	16.6595
s__Escherichia coli	g__Escherichia	hic1	15.1334
s__Escherichia coli	g__Escherichia	hic2	16.6839
s__Escherichia coli	g__Escherichia	hic1	14.5035
s__Escherichia coli	g__Escherichia	hic2	16.0748
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	15.1926
s__Escherichia coli	g__Escherichia	hic2	16.7430
s__Escherichia coli	g__Escherichia	hic1	14.1063
s__Escherichia coli	g__Escherichia	hic2	15.6776
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	14.7227
s__Escherichia coli	g__Escherichia	hic2	16.3149
s__Escherichia coli	g__Escherichia	hic1	14.6303
s__Escherichia coli	g__Escherichia	hic2	16.2016
s__Escherichia coli	g__Escherichia	hic1	14.2334
s__Escherichia coli	g__Escherichia	hic2	15.8047
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	15.8753
s__Escherichia coli	g__Escherichia	hic2	17.4466
s__Escherichia coli	g__Escherichia	hic1	14.3101
s__Escherichia coli	g__Escherichia	hic2	15.8814
s__Escherichia coli	g__Escherichia	hic1	14.9429
s__Escherichia coli	g__Escherichia	hic2	16.4934
s__Escherichia coli	g__Escherichia	hic1	15.3469
s__Escherichia coli	g__Escherichia	hic2	16.9182
s__Escherichia coli	g__Escherichia	hic1	15.7386
s__Escherichia coli	g__Escherichia	hic2	17.3099
s__Escherichia coli	g__Escherichia	hic1	14.2334
s__Escherichia coli	g__Escherichia	hic2	15.8047
s__Escherichia coli	g__Escherichia	hic1	15.5419
s__Escherichia coli	g__Escherichia	hic2	17.1293
s__Escherichia coli	g__Escherichia	hic1	14.2160
s__Escherichia coli	g__Escherichia	hic2	15.8063
s__Escherichia coli	g__Escherichia	hic1	14.3101
s__Escherichia coli	g__Escherichia	hic2	15.8814
s__Escherichia coli	g__Escherichia	hic1	14.3916
s__Escherichia coli	g__Escherichia	hic2	15.9629
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	15.1574
s__Escherichia coli	g__Escherichia	hic2	16.7079
s__Escherichia coli	g__Escherichia	hic1	15.3079
s__Escherichia coli	g__Escherichia	hic2	16.8792
s__Escherichia coli	g__Escherichia	hic1	14.4124
s__Escherichia coli	g__Escherichia	hic2	15.9629
s__Escherichia coli	g__Escherichia	hic1	15.1574
s__Escherichia coli	g__Escherichia	hic2	16.7079
s__Escherichia coli	g__Escherichia	hic1	15.8190
s__Escherichia coli	g__Escherichia	hic2	17.3903
s__Escherichia coli	g__Escherichia	hic1	15.8273
s__Escherichia coli	g__Escherichia	hic2	17.4288
s__Escherichia coli	g__Escherichia	hic1	14.6046
s__Escherichia coli	g__Escherichia	hic2	16.1759
s__Escherichia coli	g__Escherichia	hic1	13.9816
s__Escherichia coli	g__Escherichia	hic2	15.6295
s__Escherichia coli	g__Escherichia	hic1	15.2659
s__Escherichia coli	g__Escherichia	hic2	16.8458
s__Escherichia coli	g__Escherichia	hic1	13.7282
s__Escherichia coli	g__Escherichia	hic2	15.3064
s__Escherichia coli	g__Escherichia	hic1	14.6254
s__Escherichia coli	g__Escherichia	hic2	16.1759
s__Escherichia coli	g__Escherichia	hic1	15.1574
s__Escherichia coli	g__Escherichia	hic2	16.7079
s__Escherichia coli	g__Escherichia	hic1	14.2637
s__Escherichia coli	g__Escherichia	hic2	15.8349
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	14.6006
s__Escherichia coli	g__Escherichia	hic2	16.1921
s__Escherichia coli	g__Escherichia	hic1	15.1574
s__Escherichia coli	g__Escherichia	hic2	16.7079
s__Escherichia coli	g__Escherichia	hic1	15.1016
s__Escherichia coli	g__Escherichia	hic2	16.6595
s__Escherichia coli	g__Escherichia	hic1	15.1835
s__Escherichia coli	g__Escherichia	hic2	16.7340
s__Escherichia coli	g__Escherichia	hic1	14.8017
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	14.3101
s__Escherichia coli	g__Escherichia	hic2	15.8814
s__Escherichia coli	g__Escherichia	hic1	14.9429
s__Escherichia coli	g__Escherichia	hic2	16.4934
s__Escherichia coli	g__Escherichia	hic1	15.6588
s__Escherichia coli	g__Escherichia	hic2	17.3292
s__Escherichia coli	g__Escherichia	hic1	15.5611
s__Escherichia coli	g__Escherichia	hic2	17.2315
s__Escherichia coli	g__Escherichia	hic1	14.5114
s__Escherichia coli	g__Escherichia	hic2	16.0862
s__Escherichia coli	g__Escherichia	hic1	15.3816
s__Escherichia coli	g__Escherichia	hic2	16.9529
s__Escherichia coli	g__Escherichia	hic1	15.0563
s__Escherichia coli	g__Escherichia	hic2	16.7267
s__Escherichia coli	g__Escherichia	hic1	14.4527
s__Escherichia coli	g__Escherichia	hic2	16.0032
s__Escherichia coli	g__Escherichia	hic1	14.5035
s__Escherichia coli	g__Escherichia	hic2	16.0748
s__Escherichia coli	g__Escherichia	hic1	14.5035
s__Escherichia coli	g__Escherichia	hic2	16.0748
s__Escherichia coli	g__Escherichia	hic1	15.7015
s__Escherichia coli	g__Escherichia	hic2	17.2630
s__Escherichia coli	g__Escherichia	hic1	14.1830
s__Escherichia coli	g__Escherichia	hic2	15.7410
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.1411
s__Escherichia coli	g__Escherichia	hic1	13.1587
s__Escherichia coli	g__Escherichia	hic2	14.8499
s__Escherichia coli	g__Escherichia	hic1	14.4151
s__Escherichia coli	g__Escherichia	hic2	15.9656
s__Escherichia coli	g__Escherichia	hic1	15.7371
s__Escherichia coli	g__Escherichia	hic2	17.4074
s__Escherichia coli	g__Escherichia	hic1	14.8417
s__Escherichia coli	g__Escherichia	hic2	16.3547
s__Escherichia coli	g__Escherichia	hic1	14.7600
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	14.4151
s__Escherichia coli	g__Escherichia	hic2	15.9656
s__Escherichia coli	g__Escherichia	hic1	14.4151
s__Escherichia coli	g__Escherichia	hic2	15.9656
s__Escherichia coli	g__Escherichia	hic1	15.1126
s__Escherichia coli	g__Escherichia	hic2	16.8038
s__Escherichia coli	g__Escherichia	hic1	15.3055
s__Escherichia coli	g__Escherichia	hic2	16.8768
s__Escherichia coli	g__Escherichia	hic1	13.3236
s__Escherichia coli	g__Escherichia	hic2	14.8984
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.1411
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.1411
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.0212
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.1411
s__Escherichia coli	g__Escherichia	hic1	14.9429
s__Escherichia coli	g__Escherichia	hic2	16.4934
s__Escherichia coli	g__Escherichia	hic1	15.1040
s__Escherichia coli	g__Escherichia	hic2	16.7400
s__Escherichia coli	g__Escherichia	hic1	13.9560
s__Escherichia coli	g__Escherichia	hic2	15.5272
s__Escherichia coli	g__Escherichia	hic1	15.6459
s__Escherichia coli	g__Escherichia	hic2	17.3163
s__Escherichia coli	g__Escherichia	hic1	14.8423
s__Escherichia coli	g__Escherichia	hic2	16.4910
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.1411
s__Escherichia coli	g__Escherichia	hic1	15.3055
s__Escherichia coli	g__Escherichia	hic2	16.8768
s__Escherichia coli	g__Escherichia	hic1	14.8017
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	14.5153
s__Escherichia coli	g__Escherichia	hic2	16.0866
s__Escherichia coli	g__Escherichia	hic1	14.6492
s__Escherichia coli	g__Escherichia	hic2	16.2408
s__Escherichia coli	g__Escherichia	hic1	14.5361
s__Escherichia coli	g__Escherichia	hic2	16.0866
s__Escherichia coli	g__Escherichia	hic1	14.4151
s__Escherichia coli	g__Escherichia	hic2	15.9656
s__Escherichia coli	g__Escherichia	hic1	15.6459
s__Escherichia coli	g__Escherichia	hic2	17.3163
s__Escherichia coli	g__Escherichia	hic1	14.1231
s__Escherichia coli	g__Escherichia	hic2	15.7320
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.1411
s__Escherichia coli	g__Escherichia	hic1	14.1063
s__Escherichia coli	g__Escherichia	hic2	15.6776
s__Escherichia coli	g__Escherichia	hic1	15.1871
s__Escherichia coli	g__Escherichia	hic2	16.7376
s__Escherichia coli	g__Escherichia	hic1	14.9429
s__Escherichia coli	g__Escherichia	hic2	16.4934
s__Escherichia coli	g__Escherichia	hic1	14.7009
s__Escherichia coli	g__Escherichia	hic2	16.2722
s__Escherichia coli	g__Escherichia	hic1	15.0706
s__Escherichia coli	g__Escherichia	hic2	16.6211
s__Escherichia coli	g__Escherichia	hic1	15.0186
s__Escherichia coli	g__Escherichia	hic2	16.5899
s__Escherichia coli	g__Escherichia	hic1	13.1359
s__Escherichia coli	g__Escherichia	hic2	14.7448
s__Escherichia coli	g__Escherichia	hic1	15.3057
s__Escherichia coli	g__Escherichia	hic2	16.8770
s__Escherichia coli	g__Escherichia	hic1	14.1063
s__Escherichia coli	g__Escherichia	hic2	15.6776
s__Escherichia coli	g__Escherichia	hic1	14.9985
s__Escherichia coli	g__Escherichia	hic2	16.6345
s__Escherichia coli	g__Escherichia	hic1	14.2160
s__Escherichia coli	g__Escherichia	hic2	15.7665
s__Escherichia coli	g__Escherichia	hic1	14.0711
s__Escherichia coli	g__Escherichia	hic2	15.7071
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	14.7436
s__Escherichia coli	g__Escherichia	hic2	16.3149
s__Escherichia coli	g__Escherichia	hic1	15.6564
s__Escherichia coli	g__Escherichia	hic2	17.2277
s__Escherichia coli	g__Escherichia	hic1	14.9436
s__Escherichia coli	g__Escherichia	hic2	16.6348
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	15.1881
s__Escherichia coli	g__Escherichia	hic2	16.7594
s__Escherichia coli	g__Escherichia	hic1	15.1574
s__Escherichia coli	g__Escherichia	hic2	16.7079
s__Escherichia coli	g__Escherichia	hic1	15.2029
s__Escherichia coli	g__Escherichia	hic2	16.7742
s__Escherichia coli	g__Escherichia	hic1	14.0183
s__Escherichia coli	g__Escherichia	hic2	15.6014
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.0212
s__Escherichia coli	g__Escherichia	hic1	15.3469
s__Escherichia coli	g__Escherichia	hic2	16.9182
s__Escherichia coli	g__Escherichia	hic1	14.0711
s__Escherichia coli	g__Escherichia	hic2	15.7071
s__Escherichia coli	g__Escherichia	hic1	15.1558
s__Escherichia coli	g__Escherichia	hic2	16.7647
s__Escherichia coli	g__Escherichia	hic1	15.7386
s__Escherichia coli	g__Escherichia	hic2	17.3099
s__Escherichia coli	g__Escherichia	hic1	15.9130
s__Escherichia coli	g__Escherichia	hic2	17.4843
s__Escherichia coli	g__Escherichia	hic1	13.7497
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	15.4165
s__Escherichia coli	g__Escherichia	hic2	17.0309
s__Escherichia coli	g__Escherichia	hic1	15.2623
s__Escherichia coli	g__Escherichia	hic2	16.8768
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.0212
s__Escherichia coli	g__Escherichia	hic1	14.0934
s__Escherichia coli	g__Escherichia	hic2	15.7078
s__Escherichia coli	g__Escherichia	hic1	15.2767
s__Escherichia coli	g__Escherichia	hic2	16.9182
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.0212
s__Escherichia coli	g__Escherichia	hic1	15.0956
s__Escherichia coli	g__Escherichia	hic2	16.6669
s__Escherichia coli	g__Escherichia	hic1	14.8755
s__Escherichia coli	g__Escherichia	hic2	16.5666
s__Escherichia coli	g__Escherichia	hic1	15.0563
s__Escherichia coli	g__Escherichia	hic2	16.7267
s__Escherichia coli	g__Escherichia	hic1	15.1343
s__Escherichia coli	g__Escherichia	hic2	16.7056
s__Escherichia coli	g__Escherichia	hic1	15.0960
s__Escherichia coli	g__Escherichia	hic2	16.6708
s__Escherichia coli	g__Escherichia	hic1	15.1574
s__Escherichia coli	g__Escherichia	hic2	16.7079
s__Escherichia coli	g__Escherichia	hic1	15.4028
s__Escherichia coli	g__Escherichia	hic2	16.9740
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.0212
s__Escherichia coli	g__Escherichia	hic1	15.1157
s__Escherichia coli	g__Escherichia	hic2	16.7079
s__Escherichia coli	g__Escherichia	hic1	14.9985
s__Escherichia coli	g__Escherichia	hic2	16.6345
s__Escherichia coli	g__Escherichia	hic1	15.1574
s__Escherichia coli	g__Escherichia	hic2	16.7079
s__Escherichia coli	g__Escherichia	hic1	15.7386
s__Escherichia coli	g__Escherichia	hic2	17.3099
s__Escherichia coli	g__Escherichia	hic1	13.7497
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	13.6036
s__Escherichia coli	g__Escherichia	hic2	15.2987
s__Escherichia coli	g__Escherichia	hic1	14.3101
s__Escherichia coli	g__Escherichia	hic2	15.8814
s__Escherichia coli	g__Escherichia	hic1	15.7429
s__Escherichia coli	g__Escherichia	hic2	17.3141
s__Escherichia coli	g__Escherichia	hic1	15.0500
s__Escherichia coli	g__Escherichia	hic2	16.6213
s__Escherichia coli	g__Escherichia	hic1	13.7705
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	14.1365
s__Escherichia coli	g__Escherichia	hic2	15.7078
s__Escherichia coli	g__Escherichia	hic1	15.0203
s__Escherichia coli	g__Escherichia	hic2	16.6618
s__Escherichia coli	g__Escherichia	hic1	13.2040
s__Escherichia coli	g__Escherichia	hic2	14.7753
s__Escherichia coli	g__Escherichia	hic1	15.8761
s__Escherichia coli	g__Escherichia	hic2	17.4266
s__Escherichia coli	g__Escherichia	hic1	15.1378
s__Escherichia coli	g__Escherichia	hic2	16.7993
s__Escherichia coli	g__Escherichia	hic1	14.8017
s__Escherichia coli	g__Escherichia	hic2	16.3522
s__Escherichia coli	g__Escherichia	hic1	15.4165
s__Escherichia coli	g__Escherichia	hic2	17.0309
s__Escherichia coli	g__Escherichia	hic1	14.8755
s__Escherichia coli	g__Escherichia	hic2	16.4467
s__Escherichia coli	g__Escherichia	hic1	14.2725
s__Escherichia coli	g__Escherichia	hic2	15.8814
s__Escherichia coli	g__Escherichia	hic1	15.0563
s__Escherichia coli	g__Escherichia	hic2	16.7267
s__Escherichia coli	g__Escherichia	hic1	15.8933
s__Escherichia coli	g__Escherichia	hic2	17.4646
s__Escherichia coli	g__Escherichia	hic1	15.1984
s__Escherichia coli	g__Escherichia	hic2	16.7696
s__Escherichia coli	g__Escherichia	hic1	15.5841
s__Escherichia coli	g__Escherichia	hic2	17.1345
s__Escherichia coli	g__Escherichia	hic1	14.4947
s__Escherichia coli	g__Escherichia	hic2	16.0862
s__Escherichia coli	g__Escherichia	hic1	15.4028
s__Escherichia coli	g__Escherichia	hic2	17.0939
s__Escherichia coli	g__Escherichia	hic1	14.5149
s__Escherichia coli	g__Escherichia	hic2	16.1147
s__Escherichia coli	g__Escherichia	hic1	15.7386
s__Escherichia coli	g__Escherichia	hic2	17.3099
s__Escherichia coli	g__Escherichia	hic1	15.6564
