type	hi
sdp	3.11
sdp	5.89
sdp	10.62
sdp	2.42
sdp	5.89
sdp	12.92
sdp	3.11
sdp	5.09
sdp	10.62
sdp	5.98
sdp	8.26
sdp	3.61
sdp	4.87
sdp	5.17
sdp	10.62
sdp	5.58
sdp	2.16
sdp	8.29
sdp	2.35
sdp	6.2
sdp	7.24
sdp	10.62
sdp	10.62
sdp	10.62
sdp	6.05
sdp	1.41
sdp	10.62
sdp	4.43
sdp	16.53
sdp	6.15
sdp	5.89
sdp	10.62
sdp	13.14
sdp	2.39
sdp	2.94
sdp	10.62
sdp	5.89
sdp	10.62
sdp	10.62
sdp	3.03
sdp	10.62
sdp	5.09
sdp	10.62
sdp	13.86
sdp	5.73
sdp	4.14
sdp	13.96
sdp	10.62
sdp	2.48
sdp	5.89
sdp	10.62
sdp	10.62
sdp	8.98
sdp	12.06
sdp	13.5
sdp	10.62
sdp	10.62
sdp	3.48
sdp	10.62
sdp	5.36
sdp	3.69
sdp	4.27
sdp	6.72
sdp	14.08
sdp	10.62
sdp	10.62
sdp	10.62
sdp	9.23
sdp	2.49
sdp	3.37
sdp	6.96
sdp	4.11
sdp	5.89
sdp	10.62
sdp	5.67
sdp	5.89
sdp	10.62
sdp	5.89
sdp	10.62
sdp	10.62
sdp	5.42
sdp	3.89
sdp	11.59
sdp	10.62
sdp	11.68
sdp	14.3
sdp	6.2
sdp	5.89
sdp	10.62
sdp	10.62
sdp	6.84
sdp	5.97
sdp	5.89
sdp	10.62
sdp	2.42
sdp	12.92
sdp	12.33
sdp	10.62
sdp	2.42
sdp	12.33
sdp	5.89
sdp	12.92
sdp	2.35
sdp	10.62
sdp	2.48
sdp	5.89
sdp	10.62
sdp	12.06
sdp	7.87
sdp	10.62
sdp	2.77
sdp	6.21
sdp	14
sdp	10.56
sdp	5.67
sdp	10.62
sdp	2.77
sdp	8.25
sdp	6.96
sdp	6.72
sdp	6.2
sdp	8.19
sdp	6.84
sdp	10.62
sdp	5.8
sdp	14
sdp	14
sdp	10.62
sdp	5.89
sdp	10.62
sdp	4.95
sdp	7.87
sdp	5.89
sdp	10.62
sdp	2.48
sdp	5.89
sdp	10.62
sdp	10.62
sdp	9.44
sdp	2.9
sdp	9.35
sdp	3.65
sdp	10.62
sdp	10.62
sdp	10.62
sdp	5.89
sdp	10.62
sdp	10.62
sdp	6.72
sdp	10.62
sdp	14.59
sdp	12.06
sdp	8.98
sdp	13.5
sdp	10.62
sdp	14
sdp	6.4
sdp	10.62
sdp	5.89
sdp	10.62
sdp	11.68
sdp	10.11
sdp	11.79
sdp	14.48
sdp	5.5
sdp	15.25
sdp	10.56
sdp	9.5
sdp	7.54
sdp	7.61
sdp	4.02
sdp	11.4
sdp	4.43
sdp	11.4
sdp	9.07
sdp	2.9
sdp	8.41
sdp	5.5
sdp	7.82
sdp	5.59
sdp	3.48
sdp	4.81
sdp	3.81
sdp	5.89
sdp	10.62
sdp	5.1
sdp	10.58
sdp	9.83
sdp	10.58
sdp	2.48
sdp	5.89
sdp	10.62
sdp	10.62
sdp	10.62
sdp	6.96
sdp	6.72
sdp	6.2
sdp	13.16
sdp	10.12
sdp	5.26
sdp	13.66
sdp	3.81
sdp	6.15
sdp	6.37
sdp	2.9
sdp	11.89
sdp	9.42
sdp	2.77
sdp	2.77
sdp	2.94
sdp	2.48
sdp	11.79
sdp	5.5
sdp	11.99
sdp	14.94
sdp	10.56
sdp	14.48
sdp	7.54
sdp	7.61
sdp	14.84
sdp	2.52
sdp	6.28
sdp	5.22
sdp	3.27
sdp	5.5
sdp	5.5
sdp	13.94
sdp	5.69
sdp	13.38
sdp	8.48
sdp	3.89
sdp	5.89
sdp	4.68
sdp	2.48
sdp	3.81
sdp	1.53
sdp	12.33
sdp	3.88
sdp	4.52
sdp	10.64
sdp	14.59
sdp	4.74
sdp	2.42
sdp	2.94
sdp	10.43
sdp	10.58
sdp	5.64
sdp	4.43
sdp	2.94
sdp	5.67
sdp	1.49
sdp	2.94
sdp	2.77
sdp	3.81
sdp	14
sdp	8.23
sdp	6.96
sdp	6.72
sdp	10.56
sdp	9.88
sdp	5.89
sdp	10.62
sdp	5.42
sdp	6.72
sdp	13.11
sdp	5.5
sdp	8.5
sdp	13.16
sdp	2.94
sdp	13.66
sdp	3.81
sdp	3.69
sdp	12.97
sdp	4.43
sdp	3.69
sdp	2.94
sdp	10.43
sdp	10.58
sdp	5.64
sdp	4.33
sdp	12.33
sdp	10.97
sdp	3.81
sdp	11.41
sdp	9.16
sdp	17.21
sdp	14
sdp	3.37
sdp	5.42
sdp	13.69
sdp	1.93
sdp	12.42
sdp	9.5
sdp	11.68
sdp	2.94
sdp	13.66
sdp	14
sdp	3.81
sdp	5.89
sdp	10.12
sdp	3.92
sdp	13.66
sdp	3.81
sdp	15.38
sdp	13.67
sdp	12.06
sdp	9.5
sdp	3.92
sdp	2.77
sdp	3.81
sdp	9.22
sdp	14
sdp	14
sdp	12.57
sdp	10.52
sdp	7.76
sdp	3.65
sdp	4.52
sdp	9.07
sdp	8.45
sdp	8.98
sdp	12.06
sdp	13.5
sdp	9.79
sdp	11.68
sdp	5.5
sdp	14.1
sdp	7.87
sdp	11.8
sdp	13.96
sdp	8.2
sdp	1.41
sdp	10.56
sdp	5.67
sdp	2.52
sdp	6.28
sdp	5.22
sdp	3.27
sdp	3.81
sdp	4.34
sdp	1.95
sdp	10.41
sdp	2.77
sdp	1.93
sdp	12.33
sdp	2.48
sdp	1.06
sdp	2.77
sdp	6.72
sdp	14.37
sdp	5.36
sdp	4.68
sdp	15.13
sdp	12.51
sdp	14.77
sdp	2.35
sdp	10.97
sdp	14
sdp	14
sdp	6.72
sdp	15.69
sdp	10.58
sdp	10.07
sdp	10.62
sdp	11.68
sdp	11.79
sdp	5.5
sdp	14.94
sdp	10.56
sdp	14.48
sdp	9.5
sdp	7.54
sdp	7.61
sdp	2.94
sdp	1.53
sdp	14
sdp	14
sdp	5.26
sdp	1.53
sdp	2.94
sdp	5.67
sdp	6.85
sdp	4.23
sdp	14.41
sdp	10.32
sdp	4.93
sdp	6.85
sdp	1.93
sdp	8.98
sdp	5.5
sdp	14
sdp	6.2
sdp	5.22
sdp	3.89
sdp	2.52
sdp	6.28
sdp	5.22
sdp	3.27
sdp	12.49
sdp	9.42
sdp	4.43
sdp	3.37
sdp	14
sdp	5.22
sdp	4.64
sdp	4.43
sdp	3.37
sdp	3.09
sdp	14
sdp	5.13
sdp	14
sdp	8.9
sdp	7.82
sdp	14.77
sdp	5.89
sdp	10.62
sdp	9.43
sdp	16.12
sdp	9.03
sdp	12.03
sdp	13.16
sdp	2.94
sdp	10.43
sdp	10.58
sdp	5.64
sdp	4.43
sdp	14
sdp	2.85
sdp	5.89
sdp	4.35
sdp	1.49
sdp	6.72
sdp	3.53
sdp	11.79
sdp	10.56
sdp	9.5
sdp	13.5
sdp	10.62
sdp	5.5
sdp	8.9
sdp	11.99
sdp	5.5
sdp	5.42
sdp	6.72
sdp	4.87
sdp	4.81
sdp	5.5
sdp	8.9
sdp	11.99
sdp	5.5
sdp	15.48
sdp	5.89
sdp	5.26
sdp	3.81
sdp	6.69
sdp	6.77
sdp	6.87
sdp	9.43
sdp	2.94
sdp	4.87
sdp	14
sdp	6.96
sdp	11.77
sdp	8.87
sdp	1.97
sdp	2.94
sdp	5.67
sdp	3.89
sdp	5.67
sdp	12.06
sdp	9.08
sdp	2.35
sdp	6.63
sdp	3.41
sdp	5.5
sdp	7.87
sdp	14
sdp	2.35
sdp	2.35
sdp	3.81
sdp	14.52
sdp	2.52
sdp	6.28
sdp	5.22
sdp	3.27
sdp	14.6
sdp	14.87
sdp	6.17
sdp	2.42
sdp	12.33
sdp	7.59
sdp	5.89
sdp	12.92
sdp	2.94
sdp	12.56
sdp	9.38
sdp	5.67
sdp	5.66
sdp	5.89
sdp	10.62
sdp	4.87
sdp	6.96
sdp	2.77
sdp	6.84
sdp	3.89
sdp	3.89
sdp	2.49
sdp	8.62
sdp	10.56
sdp	3.81
sdp	4.43
sdp	2.94
sdp	5.67
sdp	2.31
sdp	13.69
sdp	12.06
sdp	3.43
sdp	5.5
sdp	12.33
sdp	12.56
sdp	10.42
sdp	3.69
sdp	12.34
sdp	12.56
sdp	2.48
sdp	2.94
sdp	12.26
sdp	3.81
sdp	10.41
sdp	2.77
sdp	2.31
sdp	13.66
sdp	13.5
sdp	3.81
sdp	13.16
sdp	10.12
sdp	13.81
sdp	13.66
sdp	5.26
sdp	10.64
sdp	3.81
sdp	2.77
sdp	12.69
sdp	5.26
sdp	5.89
sdp	5.26
sdp	13.66
sdp	3.81
sdp	14.59
sdp	4.74
sdp	12.56
sdp	11.68
sdp	11.79
sdp	12.99
sdp	13.67
sdp	5.22
sdp	14
sdp	7.82
sdp	5.5
sdp	7.49
sdp	3.43
sdp	5.5
sdp	2.77
sdp	8.85
sdp	1.49
sdp	2.77
sdp	8.02
sdp	13.24
sdp	7.8
sdp	10.97
sdp	3.41
sdp	1.41
sdp	6.27
sdp	2.94
