contig_length	completeness	type	type2
37354	96.68	SiPs-L	SiPs
7035	65.9	SiPs-S	SiPs
36128	100	SiPs-L	SiPs
5738	0.66	SiPs-S	SiPs
32967	96.62	SiPs-L	SiPs
37691	100	SiPs-L	SiPs
17166	51.61	SiPs-S	SiPs
12194	33.69	SiPs-S	SiPs
10155	21.96	SiPs-S	SiPs
43068	85.98	SiPs-L	SiPs
16833	35.7	SiPs-S	SiPs
30849	100	SiPs-L	SiPs
10155	21.96	SiPs-S	SiPs
34037	100	SiPs-L	SiPs
38929	100	SiPs-L	SiPs
40104	100	SiPs-L	SiPs
33719	90.89	SiPs-L	SiPs
29608	92.56	SiPs-S	SiPs
14072	33.2	SiPs-S	SiPs
37691	100	SiPs-L	SiPs
9738	13.36	SiPs-S	SiPs
12833	100	SiPs-S	SiPs
9738	13.36	SiPs-S	SiPs
35882	95.74	SiPs-L	SiPs
11798	100	SiPs-S	SiPs
47124	91.82	SiPs-L	SiPs
44088	100	SiPs-L	SiPs
5715	2.96	SiPs-S	SiPs
28991	91.11	SiPs-S	SiPs
31026	100	SiPs-L	SiPs
10339	22.02	SiPs-S	SiPs
17043	36.33	SiPs-S	SiPs
14072	33.2	SiPs-S	SiPs
5844	0.76	SiPs-S	SiPs
42445	100	SiPs-L	SiPs
38890	99.27	SiPs-L	SiPs
35366	94.41	SiPs-L	SiPs
24482	75.33	SiPs-S	SiPs
18724	50.61	SiPs-S	SiPs
13274	32	SiPs-S	SiPs
54146	99.64	SiPs-L	SiPs
22560	61.33	SiPs-S	SiPs
59346	100	SiPs-L	SiPs
35379	95.37	SiPs-L	SiPs
31872	99.46	SiPs-L	SiPs
59346	100	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
20488	42.02	SiPs-S	SiPs
12961	32.41	SiPs-S	SiPs
10232	25.86	SiPs-S	SiPs
13486	30.09	SiPs-S	SiPs
44436	100	SiPs-L	SiPs
35806	95.65	SiPs-L	SiPs
47159	100	SiPs-L	SiPs
47487	100	SiPs-L	SiPs
35419	94.11	SiPs-L	SiPs
33729	100	SiPs-L	SiPs
11146	94.7	SiPs-S	SiPs
10646	100	SiPs-S	SiPs
37049	100	SiPs-L	SiPs
51181	100	SiPs-L	SiPs
12099	22.3	SiPs-S	SiPs
32200	99.14	SiPs-L	SiPs
17290	38.66	SiPs-S	SiPs
33073	75.16	SiPs-L	SiPs
40875	100	SiPs-L	SiPs
37524	100	SiPs-L	SiPs
35887	96.72	SiPs-L	SiPs
12778	22.97	SiPs-S	SiPs
46982	99.69	SiPs-L	SiPs
21244	57.75	SiPs-S	SiPs
38411	100	SiPs-L	SiPs
10177	100	SiPs-S	SiPs
36874	98.26	SiPs-L	SiPs
47991	100	SiPs-L	SiPs
49068	100	SiPs-L	SiPs
36376	100	SiPs-L	SiPs
29220	62.76	SiPs-S	SiPs
9796	29.26	SiPs-S	SiPs
34567	100	SiPs-L	SiPs
20620	44.23	SiPs-S	SiPs
44069	97.88	SiPs-L	SiPs
44001	100	SiPs-L	SiPs
41395	100	SiPs-L	SiPs
45350	100	SiPs-L	SiPs
37741	100	SiPs-L	SiPs
18212	37	SiPs-S	SiPs
10871	100	SiPs-S	SiPs
47985	100	SiPs-L	SiPs
11520	58.74	SiPs-S	SiPs
18722	49.89	SiPs-S	SiPs
45566	100	SiPs-L	SiPs
13494	35.7	SiPs-S	SiPs
