hi	label	model
15.9963	0	GaussianMixture
16.0046	0	GaussianMixture
16.0571	0	GaussianMixture
16.0571	0	GaussianMixture
16.0776	0	GaussianMixture
16.2213	0	GaussianMixture
16.2213	0	GaussianMixture
16.2364	0	GaussianMixture
16.2475	0	GaussianMixture
16.2696	0	GaussianMixture
16.2895	0	GaussianMixture
16.3578	0	GaussianMixture
16.3895	0	GaussianMixture
16.4049	0	GaussianMixture
16.4814	1	GaussianMixture
16.5025	1	GaussianMixture
16.5068	1	GaussianMixture
16.5068	1	GaussianMixture
16.6252	1	GaussianMixture
16.6887	1	GaussianMixture
16.7182	1	GaussianMixture
16.7731	1	GaussianMixture
16.7731	1	GaussianMixture
16.7903	1	GaussianMixture
16.8069	1	GaussianMixture
16.808	1	GaussianMixture
16.8222	1	GaussianMixture
16.8852	1	GaussianMixture
16.9001	1	GaussianMixture
16.9187	1	GaussianMixture
16.9497	1	GaussianMixture
17.0292	1	GaussianMixture
17.0332	1	GaussianMixture
17.2098	1	GaussianMixture
17.2098	1	GaussianMixture
17.2182	1	GaussianMixture
17.2182	1	GaussianMixture
17.2182	1	GaussianMixture
17.324	1	GaussianMixture
17.3717	1	GaussianMixture
17.3884	1	GaussianMixture
17.411	1	GaussianMixture
17.5033	1	GaussianMixture
17.5251	1	GaussianMixture
17.577	1	GaussianMixture
17.5892	1	GaussianMixture
17.5905	1	GaussianMixture
17.5909	1	GaussianMixture
17.6053	1	GaussianMixture
17.6089	1	GaussianMixture
17.6336	1	GaussianMixture
17.774	1	GaussianMixture
17.7847	1	GaussianMixture
17.7847	1	GaussianMixture
17.8838	1	GaussianMixture
17.9389	1	GaussianMixture
17.9727	1	GaussianMixture
18.0819	1	GaussianMixture
18.1182	1	GaussianMixture
18.1264	1	GaussianMixture
18.3513	1	GaussianMixture
18.4242	1	GaussianMixture
18.4451	1	GaussianMixture
18.4739	1	GaussianMixture
18.5249	1	GaussianMixture
18.5436	1	GaussianMixture
18.6337	1	GaussianMixture
18.6696	1	GaussianMixture
18.7931	1	GaussianMixture
18.8085	1	GaussianMixture
18.8966	1	GaussianMixture
18.924	1	GaussianMixture
19.1122	1	GaussianMixture
19.1286	1	GaussianMixture
19.1614	1	GaussianMixture
19.1614	1	GaussianMixture
19.2466	1	GaussianMixture
19.3933	1	GaussianMixture
19.4985	1	GaussianMixture
19.4985	1	GaussianMixture
19.5513	1	GaussianMixture
19.5513	1	GaussianMixture
19.5927	1	GaussianMixture
19.5927	1	GaussianMixture
19.5974	1	GaussianMixture
19.6136	1	GaussianMixture
19.6136	1	GaussianMixture
19.6335	1	GaussianMixture
19.6336	1	GaussianMixture
19.6908	1	GaussianMixture
19.7372	1	GaussianMixture
19.7437	1	GaussianMixture
19.8351	1	GaussianMixture
19.8351	1	GaussianMixture
19.9268	1	GaussianMixture
19.9414	1	GaussianMixture
19.9566	1	GaussianMixture
20.0055	1	GaussianMixture
20.0055	1	GaussianMixture
20.0805	1	GaussianMixture
20.0837	1	GaussianMixture
20.1088	1	GaussianMixture
20.1205	1	GaussianMixture
20.1205	1	GaussianMixture
20.1525	1	GaussianMixture
20.1611	1	GaussianMixture
20.1831	1	GaussianMixture
20.286	1	GaussianMixture
20.3613	1	GaussianMixture
20.403	1	GaussianMixture
20.4458	1	GaussianMixture
20.4458	1	GaussianMixture
20.4822	1	GaussianMixture
20.616	1	GaussianMixture
20.6475	1	GaussianMixture
20.7027	1	GaussianMixture
20.7239	1	GaussianMixture
20.8372	1	GaussianMixture
20.8372	1	GaussianMixture
20.8908	1	GaussianMixture
20.9957	1	GaussianMixture
21.1786	1	GaussianMixture
21.1786	1	GaussianMixture
21.25	1	GaussianMixture
21.3233	1	GaussianMixture
21.3479	1	GaussianMixture
21.3718	1	GaussianMixture
21.4838	1	GaussianMixture
21.5088	1	GaussianMixture
21.5307	1	GaussianMixture
21.5307	1	GaussianMixture
21.6253	1	GaussianMixture
21.644	1	GaussianMixture
21.6798	1	GaussianMixture
21.6869	1	GaussianMixture
21.7634	1	GaussianMixture
21.7644	1	GaussianMixture
21.7879	1	GaussianMixture
21.817	1	GaussianMixture
21.8897	1	GaussianMixture
21.9417	1	GaussianMixture
21.9516	1	GaussianMixture
21.9769	1	GaussianMixture
21.9845	1	GaussianMixture
21.9845	1	GaussianMixture
22.0147	1	GaussianMixture
22.0353	1	GaussianMixture
22.0365	1	GaussianMixture
22.0949	1	GaussianMixture
22.1113	1	GaussianMixture
22.1314	1	GaussianMixture
22.1453	1	GaussianMixture
22.1521	1	GaussianMixture
22.2866	1	GaussianMixture
22.2881	1	GaussianMixture
22.3087	1	GaussianMixture
22.3087	1	GaussianMixture
22.3117	1	GaussianMixture
22.3179	1	GaussianMixture
22.3447	1	GaussianMixture
22.345	1	GaussianMixture
22.3626	1	GaussianMixture
22.3651	1	GaussianMixture
22.4443	1	GaussianMixture
22.4711	1	GaussianMixture
22.4711	1	GaussianMixture
22.5313	1	GaussianMixture
22.5681	1	GaussianMixture
22.5705	1	GaussianMixture
22.5844	1	GaussianMixture
22.6428	1	GaussianMixture
22.6428	1	GaussianMixture
22.7566	1	GaussianMixture
22.8411	1	GaussianMixture
22.8742	1	GaussianMixture
22.8832	1	GaussianMixture
22.8832	1	GaussianMixture
22.9082	1	GaussianMixture
22.9153	1	GaussianMixture
22.9688	1	GaussianMixture
22.9769	1	GaussianMixture
23.0316	1	GaussianMixture
23.0316	1	GaussianMixture
23.0738	1	GaussianMixture
23.0738	1	GaussianMixture
23.0791	1	GaussianMixture
23.0854	1	GaussianMixture
23.0965	1	GaussianMixture
23.1299	1	GaussianMixture
23.1299	1	GaussianMixture
23.1342	1	GaussianMixture
23.1473	1	GaussianMixture
23.1944	1	GaussianMixture
23.3288	1	GaussianMixture
23.4741	1	GaussianMixture
23.4741	1	GaussianMixture
23.5814	1	GaussianMixture
23.5836	1	GaussianMixture
23.6514	1	GaussianMixture
23.6514	1	GaussianMixture
23.849	1	GaussianMixture
23.8774	1	GaussianMixture
23.8921	1	GaussianMixture
23.8921	1	GaussianMixture
23.8986	1	GaussianMixture
23.926	1	GaussianMixture
23.94	1	GaussianMixture
23.9405	1	GaussianMixture
23.9494	1	GaussianMixture
23.9944	1	GaussianMixture
24.0604	1	GaussianMixture
24.3019	1	GaussianMixture
24.4568	1	GaussianMixture
24.4687	1	GaussianMixture
24.5186	1	GaussianMixture
24.5522	1	GaussianMixture
24.6108	1	GaussianMixture
24.6722	1	GaussianMixture
24.6894	1	GaussianMixture
24.6894	1	GaussianMixture
24.7709	1	GaussianMixture
24.8385	1	GaussianMixture
24.8744	1	GaussianMixture
25.0772	1	GaussianMixture
25.1299	1	GaussianMixture
25.1299	1	GaussianMixture
25.1837	1	GaussianMixture
25.256	1	GaussianMixture
25.2696	1	GaussianMixture
25.2927	1	GaussianMixture
25.3008	1	GaussianMixture
25.3011	1	GaussianMixture
25.3311	1	GaussianMixture
25.4199	1	GaussianMixture
25.5652	1	GaussianMixture
25.5665	1	GaussianMixture
25.5789	1	GaussianMixture
25.5945	1	GaussianMixture
25.6272	1	GaussianMixture
25.6418	1	GaussianMixture
25.6477	1	GaussianMixture
25.6555	1	GaussianMixture
25.6574	1	GaussianMixture
25.7128	1	GaussianMixture
25.7485	1	GaussianMixture
25.869	1	GaussianMixture
25.8702	1	GaussianMixture
25.8745	1	GaussianMixture
25.9064	1	GaussianMixture
25.9445	1	GaussianMixture
26.0106	1	GaussianMixture
26.0493	1	GaussianMixture
26.0858	1	GaussianMixture
26.1109	1	GaussianMixture
26.1464	1	GaussianMixture
26.2629	1	GaussianMixture
26.4568	1	GaussianMixture
26.4949	1	GaussianMixture
26.5127	1	GaussianMixture
26.6089	1	GaussianMixture
26.6152	1	GaussianMixture
26.6394	1	GaussianMixture
26.6493	1	GaussianMixture
26.8331	1	GaussianMixture
26.8533	1	GaussianMixture
27.0027	1	GaussianMixture
27.0951	1	GaussianMixture
27.126	1	GaussianMixture
27.126	1	GaussianMixture
27.126	1	GaussianMixture
27.2591	1	GaussianMixture
27.31	1	GaussianMixture
27.3838	1	GaussianMixture
27.4793	1	GaussianMixture
27.5625	1	GaussianMixture
27.5935	1	GaussianMixture
27.8519	1	GaussianMixture
27.8519	1	GaussianMixture
27.8561	1	GaussianMixture
27.9407	1	GaussianMixture
27.9407	1	GaussianMixture
28.1851	1	GaussianMixture
28.5252	1	GaussianMixture
28.8898	1	GaussianMixture
29.1605	1	GaussianMixture
29.3633	1	GaussianMixture
29.444	1	GaussianMixture
29.7281	1	GaussianMixture
29.8006	1	GaussianMixture
29.8202	1	GaussianMixture
30.3606	1	GaussianMixture
30.3903	1	GaussianMixture
32.5136	1	GaussianMixture
33.5119	1	GaussianMixture
33.7784	1	GaussianMixture
2.3527	0	BayesianGaussianMixture
2.7686	0	BayesianGaussianMixture
2.7686	0	BayesianGaussianMixture
3.3381	0	BayesianGaussianMixture
4.3144	0	BayesianGaussianMixture
4.6532	0	BayesianGaussianMixture
4.6532	0	BayesianGaussianMixture
5.1589	0	BayesianGaussianMixture
6.1062	0	BayesianGaussianMixture
6.2369	0	BayesianGaussianMixture
6.2369	0	BayesianGaussianMixture
6.3969	0	BayesianGaussianMixture
6.7211	0	BayesianGaussianMixture
6.7211	0	BayesianGaussianMixture
6.9833	0	BayesianGaussianMixture
6.9833	0	BayesianGaussianMixture
7.0354	0	BayesianGaussianMixture
7.0354	0	BayesianGaussianMixture
7.0642	0	BayesianGaussianMixture
7.0642	0	BayesianGaussianMixture
8.3212	0	BayesianGaussianMixture
8.6111	0	BayesianGaussianMixture
8.8018	0	BayesianGaussianMixture
9.0678	0	BayesianGaussianMixture
9.1912	0	BayesianGaussianMixture
9.1912	0	BayesianGaussianMixture
9.2685	0	BayesianGaussianMixture
9.381	0	BayesianGaussianMixture
9.4004	0	BayesianGaussianMixture
